concept,description,category,reference,example,implementation_tips,related_concepts
"Change Blindness","Failure to notice visual changes when they occur gradually.","Stage 4","Rensink et al. (1997)","Using animation to highlight data changes between states","Use transitions or animations when filtering or changing data views.","Pre-attentive Processing, Visual Feedback, Visual Hierarchy"
"Visual Hierarchy","Organizing visual elements by importance to guide the user's attention.","Stage 1","Djamasbi et al. (2010)","Creating clear visual hierarchy with primary KPIs at top","Apply different font sizes and weights to create clear information hierarchy.","Visual Hierarchies, Information Hierarchy, Principle of Proximity"
"Breathable Layouts","Using whitespace effectively to create visual rhythm and reduce cognitive load.","Stage 3","White (2011)","Using whitespace between sections with consistent margins","Use bslib::card_body(padding = 4) to add consistent padding and whitespace.","Visual Hierarchy, Information Hierarchy, Aesthetic-Usability"
"Gherkin Method","Structured format for creating user stories with Given-When-Then syntax. Note: While not a behavioral science concept, the Gherkin method supports clear information processing and scenario-based thinking.","Stage 2","North (2006)","Structuring user stories with Given-When-Then syntax","Structure user stories as 'As a [user], I want to [action] so that [benefit]'.","User Personas, User-Centric Design, Data Storytelling Framework"
"Interaction Hints","Visual cues that suggest possible interactions to users.","Stage 4","Norman (1988)","Adding hover effects and cursor changes for interactive elements","Add CSS hover states to clickable elements using the :hover pseudo-class.","Affordance, Visual Feedback, Fitts's Law"
"Visual Feedback","Immediate visual response to user actions to confirm their effect.","Stage 4","Shneiderman (2016)","Highlighting active states and providing loading feedback","Use shinyFeedback to provide immediate validation feedback on inputs.","Interaction Hints, Affordance, Change Blindness"
"Accessibility Contrast","Ensuring sufficient color contrast for users with visual impairments.","Stage 3","WCAG 2.1","Ensuring text has 4.5:1 contrast ratio against background","Test color combinations with WebAIM's contrast checker to meet WCAG standards.","Keyboard Navigation, Screen Reader Compatibility, User-Centric Design"
"Keyboard Navigation","Supporting navigation and interaction without requiring a mouse.","Stage 3","WCAG 2.1","Making all interactive elements focusable with Tab key","Use tabindex attributes to ensure logical keyboard navigation flow.","Accessibility Contrast, Screen Reader Compatibility, Fitts's Law"
"Screen Reader Compatibility","Making content accessible to users with screen readers.","Stage 3","WCAG 2.1","Adding descriptive alt text to charts and visuals","Add aria-label attributes to interactive elements and charts.","Accessibility Contrast, Keyboard Navigation, User-Centric Design"
"User Personas","Fictional representations of user types to guide design decisions.","Stage 2","Cooper (1999)","Creating design personas representing different user types","Create 3-5 distinct personas representing your dashboard's primary users.","User-Centric Design, Gherkin Method, Data Storytelling Framework"
"User-Centric Design","Design approach that prioritizes user needs and goals throughout the process.","All Stages","Winget & Eckhoff (2025)","Conducting user interviews before and during design process","Conduct user interviews and usability testing throughout the development process.","User-Centric Design, Gherkin Method, Cooperation & Coordination"
"Nudge Theory","Framework for designing choices that guide people toward beneficial decisions.","Stage 4","Thaler & Sunstein (2008)","Setting beneficial defaults like automatic savings enrollment","Design choice architecture that makes good choices easy and bad choices harder.","Default Effect, Anchoring Effect, Framing & Loss Aversion"
